id_uf,uf
6,BA
14,MG
37,ce
38,df
49,sp
12,Go
30,Rs
27,RR
36,al
2,AC
40,mg
48,sc
4,AM
29,Rj
21,PI
47,rs
17,Mg
41,pE
28,RS
45,rj
3,AL
7,CE
32,SE
1,31
18,PA
46,rn
16,MT
39,ma
8,DF
35,TO
42,pa
26,RO
31,SC
44,pr
13,MA
25,RN
9,Df
23,Pr
33,SP
34,Sp
5,AP
15,MS
43,pe
11,GO
24,RJ
10,ES
20,PE
19,PB
22,PR
